RANK,TITLE,RATING,YEAR,GENRE,DESCRIPTION,ACTORS,DURATION,BOXOFFICE
8.6,Saving Private Ryan ,8.6,War,Drama,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Tom Hanks,Matt Damon,Tom Sizemore",2h 49min,"
            $70,000,000
            
        "
8.6,It's a Wonderful Life ,8.6,Family,Drama,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"James Stewart,Donna Reed,Lionel Barrymore",2h 10min,"
    
      
    "
8.6,Léon: The Professional ,8.6,Crime,Action,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.","Jean Reno,Gary Oldman,Natalie Portman",1h 50min,"
             $5,306,558,
, 
        "
8.6,Se7en ,8.6,Drama,Crime,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Morgan Freeman,Brad Pitt,Kevin Spacey",2h 7min,"
            $33,000,000
            
        "
8.6,City of God ,8.6,Drama,Crime,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",2h 10min,"
            $3,300,000
            
        "
8.7,Seven Samurai ,8.7,Drama,Adventure,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima",3h 27min,"
             $21,830,
, 
        "
8.8,Avengers: Endgame ,8.8,Adventure,Action,After the devastating events of,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",3h 1min,"
            $356,000,000
            
        "
8.7,Goodfellas ,8.7,Crime,Biography,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Robert De Niro,Ray Liotta,Joe Pesci",2h 26min,"
            $25,000,000
            
        "
8.6,Star Wars: Episode IV - A New Hope ,8.6,Adventure,Action,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Mark Hamill,Harrison Ford,Carrie Fisher",2h 1min,"
            $11,000,000
            
        "
8.7,One Flew Over the Cuckoo's Nest ,8.7,"19 November 1975 (USA)
",Drama,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,"Jack Nicholson,Louise Fletcher,Will Sampson",2h 13min,"
             $99,761,
, 
        "
8.7,The Lord of the Rings: The Two Towers ,8.7,Drama,Adventure,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Elijah Wood,Ian McKellen,Viggo Mortensen",2h 59min,"
            $94,000,000
            
        "
8.8,Inception ,8.8,Adventure,Action,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",2h 28min,"
            $160,000,000
            
        "
8.7,Star Wars: Episode V - The Empire Strikes Back ,8.7,Adventure,Action,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.","Mark Hamill,Harrison Ford,Carrie Fisher",2h 4min,"
            $18,000,000
            
        "
8.8,Forrest Gump ,8.8,Romance,Drama,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.","Tom Hanks,Robin Wright,Gary Sinise",2h 22min,"
            $55,000,000
            
        "
8.8,The Lord of the Rings: The Fellowship of the Ring ,8.8,Drama,Adventure,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Elijah Wood,Ian McKellen,Orlando Bloom",2h 58min,"
            $93,000,000
            
        "
8.8,Fight Club ,8.8,"15 October 1999 (USA)
",Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","Brad Pitt,Edward Norton,Meat Loaf",2h 19min,"
            $63,000,000
            
        "
8.8,"The Good, the Bad and the Ugly ",8.8,"29 December 1967 (USA)
",Western,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Clint Eastwood,Eli Wallach,Lee Van Cleef",2h 58min,"
 $6,100,000
        "
8.9,Pulp Fiction ,8.9,Drama,Crime,"The lives of two mob hitmen, a boxer, a gangster & his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","John Travolta,Uma Thurman,Samuel L. Jackson",2h 34min,"
            $8,000,000
            
        "
8.9,The Lord of the Rings: The Return of the King ,8.9,Drama,Adventure,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Elijah Wood,Viggo Mortensen,Ian McKellen",3h 21min,"
            $94,000,000
            
        "
8.7,The Matrix ,8.7,Sci-Fi,Action,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",2h 16min,"
            $63,000,000
            
        "
8.9,Schindler's List ,8.9,Drama,Biography,"In German-occupied Poland during World War II, industrialist","Liam Neeson,Ralph Fiennes,Ben Kingsley",3h 15min,"
            $22,000,000
            
        "
8.9,12 Angry Men ,8.9,"10 April 1957 (USA)
",Drama,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Henry Fonda,Lee J. Cobb,Martin Balsam",1h 36min,"
            $350,000
            
        "
9.2,The Godfather ,9.2,Drama,Crime,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Marlon Brando,Al Pacino,James Caan",2h 55min,"
            $6,000,000
            
        "
9.0,The Dark Knight ,9.0,Crime,Action,"When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christian Bale,Heath Ledger,Aaron Eckhart",2h 32min,"
            $185,000,000
            
        "
9.0,The Godfather: Part II ,9.0,Drama,Crime,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Al Pacino,Robert De Niro,Robert Duvall",3h 22min,"
            $13,000,000
            
        "
8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,8.4,"29 January 1964 (USA)
",Comedy,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,"Peter Sellers,George C. Scott,Sterling Hayden",1h 35min,"
             $11,751,
, 
        "
