RANK,TITLE,RATING,YEAR,GENRE,DESCRIPTION,ACTORS,DURATION,BOXOFFICE
8.1,The Handmaiden ,8.1,Romance,Drama,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Min-hee Kim,Jung-woo Ha,Jin-Woong Cho",2h 25min,"
            KRW 10,000,000,000
            
        "
8.1,Guardians of the Galaxy ,8.1,Adventure,Action,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Chris Pratt,Vin Diesel,Bradley Cooper",2h 1min,"
            $170,000,000
            
        "
8.1,The Grapes of Wrath ,8.1,History,Drama,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.","Henry Fonda,Jane Darwell,John Carradine",2h 9min,"
 $55,000, 
        "
8.1,Dead Poets Society ,8.1,Drama,Comedy,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,"Robin Williams,Robert Sean Leonard,Ethan Hawke",2h 8min,"
             $340,456,
, 
        "
8.0,The Terminator ,8.0,Sci-Fi,Action,"A seemingly indestructible robot is sent from 2029 to 1984 to assassinate a young waitress, whose unborn son will lead humanity in a war against sentient machines, while a human soldier from the same war is sent to protect her at all costs.","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",1h 47min,"
            $6,400,000
            
        "
8.1,The Maltese Falcon ,8.1,Mystery,Film-Noir,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","Humphrey Bogart,Mary Astor,Gladys George",1h 40min,"
 $2,108,060
        "
8.1,"Monsters, Inc. ",8.1,Adventure,Animation,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","Billy Crystal,John Goodman,Mary Gibbs",1h 32min,"
            $115,000,000
            
        "
8.1,Rocky ,8.1,Sport,Drama,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,"Sylvester Stallone,Talia Shire,Burt Young",2h,"
            $960,000
            
        "
8.1,Butch Cassidy and the Sundance Kid ,8.1,Crime,Biography,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","Paul Newman,Robert Redford,Katharine Ross",1h 50min,"
            $6,000,000
            
        "
8.2,Rang De Basanti ,8.2,Drama,Comedy,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.","Aamir Khan,Soha Ali Khan,Siddharth",2h 47min,"
 $2,197,331, 
        "
8.1,The Passion of Joan of Arc ,8.1,Drama,Biography,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Maria Falconetti,Eugene Silvain,André Berley",1h 54min,"
 $21,877, 
        "
8.1,Barry Lyndon ,8.1,Drama,Adventure,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Ryan O'Neal,Marisa Berenson,Patrick Magee",3h 5min,"
 $20,000,000, 
        "
8.1,Harry Potter and the Deathly Hallows: Part 2 ,8.1,Drama,Adventure,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Daniel Radcliffe,Emma Watson,Rupert Grint",2h 10min,"
            $125,000,000
            
        "
8.1,The Princess Bride ,8.1,Family,Adventure,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Cary Elwes,Mandy Patinkin,Robin Wright",1h 38min,"
            $16,000,000
            
        "
8.1,Nausicaä of the Valley of the Wind ,8.1,Adventure,Animation,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda",1h 57min,"
 $495,770, 
        "
